SubjectInfo.subjID,SubjectInfo.testAge,Trials.trialID,Trials.ordinal,Trials.trialType,Trials.targetImage,Trials.distractorImage,Trials.imagePair,length_critical_window,usable_frames_critical_window,percent_usable_critical_window,usable_critical_window,mean_target_looking_critical_window,length_critical_window_short,usable_frames_critical_window_short,percent_usable_critical_window_short,usable_critical_window_short,mean_target_looking_critical_window_short,length_baseline_window,usable_frames_baseline_window,percent_usable_baseline_window,usable_baseline_window,mean_target_looking_baseline_window,percent_right_looking_baseline_window,percent_left_looking_baseline_window,side_bias_right,side_bias_left,usable_window,usable_window_short,corrected_target_looking,corrected_target_looking_short,age_exclusion,technical_issue_exclusion_reason,exclude_technical_issue,video_capture_time,framerate,trial_exclusion,trial_exclusion_reason,exclude_participant,preterm_infant_exclusion,non_english_exposure_exclusion,side_bias_exclusion,exclude_participant_insufficient_data
TUFKTQ,450,easy-acorn-key,1,easy,acorn,key,acorn-key,95,95,1,1,0.6315789473684209,45,45,1,1,0.22222222222222213,59,59,1,1,0.8813559322033898,0.8813559322033898,0.11864406779661017,1,0,1,1,-0.2497769848349689,-0.6591337099811677,0,NA,FALSE,7.521,30.62413341806682,0,NA,0,0,0,0,0
TUFKTQ,450,easy-cheese-mud,2,easy,cheese,mud,cheese-mud,95,95,1,1,0.9789473684210527,44,44,1,1,0.9545454545454546,61,61,1,1,0.08196721311475415,0.08196721311475409,0.9180327868852459,0,1,1,1,0.8969801553062985,0.8725782414307004,0,NA,FALSE,7.457,30.6113452753407,0,NA,0,0,0,0,0
dKKWAR,450,easy-snail-cow-distractor,2,easy-distractor,cow,snail,snail-cow,94,60,0.6382978723404256,1,0.5666666666666668,45,45,1,1,0.5333333333333334,59,59,1,1,0.7118644067796611,0.711864406779661,0.288135593220339,0,0,1,1,-0.14519774011299436,-0.17853107344632768,0,NA,FALSE,7.299,31.181123047949594,0,NA,0,0,0,0,0
CKRG26,630,easy-cheese-mud-distractor,2,easy-distractor,mud,cheese,cheese-mud,42,42,1,1,0.16666666666666663,17,17,1,1,0.41176470588235303,30,30,1,1,0.6666666666666666,0.3333333333333333,0.6666666666666666,0,0,1,1,-0.5,-0.2549019607843136,0,NA,FALSE,7.466,14.577610406806038,0,NA,0,0,0,0,0
XMJ25D,690,easy-acorn-key-distractor,2,easy-distractor,key,acorn,acorn-key,95,95,1,1,0.7473684210526319,44,44,1,1,1,60,60,1,1,0.16666666666666657,0.8333333333333334,0.16666666666666666,1,0,1,1,0.5807017543859654,0.8333333333333335,0,NA,FALSE,7.217,30.635181934176703,0,NA,0,0,0,0,0
GNXMNQ,660,hard-snail-worm,2,hard,snail,worm,snail-worm,68,65,0.9558823529411765,1,0.2923076923076924,30,30,1,1,0.3333333333333335,39,28,0.717948717948718,1,0.4285714285714285,0.41025641025641024,0.3076923076923077,0,0,1,1,-0.1362637362637361,-0.09523809523809501,0,NA,FALSE,6.926,25.276328506642493,0,NA,0,0,0,0,0
d4HUR3,480,easy-cheese-mud,2,easy,cheese,mud,cheese-mud,48,48,1,1,0.2916666666666666,22,22,1,1,0.5454545454545455,30,30,1,1,0,1,0,1,0,1,1,0.2916666666666666,0.5454545454545455,0,NA,FALSE,7.582,15.10141904878747,0,NA,0,0,0,0,0
6THVBG,510,easy-turkey-swan,2,easy,turkey,swan,turkey-swan,96,96,1,1,1,45,45,1,1,1,59,59,1,1,0.8813559322033898,0.8813559322033898,0.11864406779661017,1,0,1,1,0.11864406779661019,0.11864406779661019,0,NA,FALSE,7.333,29.93979386392823,0,NA,0,0,0,0,0
UUQJAd,570,easy-turtle-horse,2,easy,turtle,horse,turtle-horse,96,96,1,1,0.7395833333333333,45,45,1,1,1,60,60,1,1,0.39999999999999986,0.4,0.6,0,0,1,1,0.3395833333333334,0.6000000000000001,0,NA,FALSE,7.459,62.10486167435592,0,NA,0,0,0,0,0
NPV5EF,570,easy-turtle-horse-distractor,2,easy-distractor,horse,turtle,turtle-horse,24,23,0.9583333333333334,1,0.39130434782608703,11,11,1,1,0.6363636363636364,15,15,1,1,0.3333333333333333,0.6666666666666666,0.3333333333333333,0,0,1,1,0.057971014492753714,0.30303030303030304,0,framerate issue,TRUE,7.066,7.50079930888895,1,framerate issue,0,0,0,0,NA
5QCS4M,750,hard-turtle-frog,2,hard,turtle,frog,turtle-frog,96,96,1,1,0.21875,45,45,1,1,0.022222222222222216,60,60,1,1,0.03333333333333333,0.9666666666666667,0.03333333333333333,1,0,1,1,0.18541666666666667,-0.011111111111111117,0,NA,FALSE,7.44,29.909588733118145,0,NA,0,0,0,0,0
QWGKVS,750,hard-acorn-coconut,2,hard,acorn,coconut,acorn-coconut,55,39,0.7090909090909091,1,0.3846153846153844,25,25,1,1,0.6000000000000001,35,33,0.9428571428571428,1,0.15151515151515155,0.8,0.14285714285714285,0,0,1,1,0.23310023310023287,0.44848484848484854,0,NA,FALSE,6.657,22.769031065953186,0,NA,0,0,0,0,0
QGTESM,630,easy-cheese-mud-distractor,2,easy-distractor,mud,cheese,cheese-mud,96,72,0.75,1,0.8611111111111112,45,45,1,1,0.9777777777777777,60,56,0.9333333333333333,1,0.08928571428571426,0.85,0.08333333333333333,1,0,1,1,0.7718253968253969,0.8884920634920634,0,NA,FALSE,7.24,29.978560339091647,0,NA,0,0,0,0,0
FHRCdd,540,hard-potato-pot-distractor,2,hard-distractor,pot,potato,potato-pot,96,92,0.9583333333333334,1,0,45,41,0.9111111111111111,1,0,60,49,0.8166666666666667,1,0,0.8166666666666667,0,1,0,1,1,0,0,0,NA,FALSE,7.366,30.008630354651117,0,NA,0,0,0,0,0
UQBHFH,510,easy-potato-glasses,2,easy,potato,glasses,potato-glasses,96,38,0.3958333333333333,0,1,45,28,0.6222222222222222,1,1,60,46,0.7666666666666667,1,1,0.7666666666666667,0,0,0,0,1,0,0,0,NA,FALSE,7.266,30.008667353513548,1,insufficient looking,0,0,0,0,1
5QCS4M,750,easy-cheese-mud-distractor,3,easy-distractor,mud,cheese,cheese-mud,96,96,1,1,0.9479166666666667,45,45,1,1,1,60,60,1,1,0.35000000000000014,0.35,0.65,0,0,1,1,0.5979166666666667,0.6499999999999999,0,NA,FALSE,7.368,30.31714680273776,0,NA,0,0,0,0,0
NPV5EF,570,hard-bulldozer-tractor-distractor,3,hard-distractor,tractor,bulldozer,bulldozer-tractor,24,23,0.9583333333333334,1,1,11,11,1,1,1,15,15,1,1,0.3333333333333333,0.3333333333333333,0.6666666666666666,0,0,1,1,0.6666666666666667,0.6666666666666667,0,framerate issue,TRUE,7.066,7.50079930888895,1,framerate issue,0,0,0,0,NA
dKKWAR,450,hard-turtle-frog,3,hard,turtle,frog,turtle-frog,94,46,0.48936170212765956,0,0.6086956521739129,43,34,0.7906976744186046,1,0.823529411764706,59,20,0.3389830508474576,0,0.44999999999999996,0.15254237288135594,0.1864406779661017,0,0,0,0,0.1586956521739129,0.373529411764706,0,NA,FALSE,7.299,31.702301453311563,1,insufficient looking,0,0,0,0,0
QGTESM,630,hard-acorn-coconut-distractor,3,hard-distractor,coconut,acorn,acorn-coconut,96,67,0.6979166666666666,1,0.25373134328358227,45,16,0.35555555555555557,0,0,60,0,0,0,NA,0,0,0,0,0,0,NA,NA,0,NA,FALSE,7.273,29.980048733421643,1,insufficient looking,0,0,0,0,0
FHRCdd,540,easy-acorn-key-distractor,3,easy-distractor,key,acorn,acorn-key,96,96,1,1,1,45,45,1,1,1,60,60,1,1,1,0,1,0,1,1,1,0,0,0,NA,FALSE,7.4,30.005941770647652,0,NA,0,0,0,0,0
TUFKTQ,450,easy-snail-cow-distractor,3,easy-distractor,cow,snail,snail-cow,95,95,1,1,0.9894736842105263,45,45,1,1,0.9777777777777777,60,60,1,1,0.6000000000000002,0.4,0.6,0,0,1,1,0.3894736842105261,0.37777777777777755,0,NA,FALSE,7.42,30.65002747806581,0,NA,0,0,0,0,0
