,SubjectInfo.subjID,Trials.trialID,absolute_onset,Trials.audio_lag_vs_video_lag,absolute_offset,SubjectInfo.testAge,SubjectInfo.gender,Trials.leftImage,Trials.rightImage,Trials.targetImage,Trials.targetAudio,Trials.trialType,Trials.carrier_onset,Trials.target_onset,Trials.target_offset,Trials.order,SubjectInfo.age_at_birth,SubjectInfo.language_list,SubjectInfo.condition_list,Trials.ordinal
0,ZPX2dD,easy-squirrel-eagle-distractor,2025-01-05 14:47:28.737,131.0,2025-01-05 14:47:36.131,600,m,squirrel,eagle,eagle,look_at,easy-distractor,2,2.980748,3.960068,15,39 weeks,en,,5
0,AWMRW7,easy-squirrel-eagle,2025-01-05 16:11:49.819,190.0,2025-01-05 16:11:57.256,720,f,squirrel,eagle,squirrel,where,easy,2,2.980748,3.960068,16,39 weeks,en,,6
0,CS7F6L,hard-acorn-coconut,2025-01-06 14:05:39.069,353.0,2025-01-06 14:05:46.818,540,m,acorn,coconut,acorn,where,hard,2,2.980748,3.960068,16,39 weeks,en es,,6
0,QcRBVD,easy-turkey-swan-distractor,2025-01-05 19:53:13.200,374.0,2025-01-05 19:53:20.846,510,m,swan,turkey,swan,where,easy-distractor,2,2.980748,3.860907,16,40 or more weeks,en,,6
0,M7RZU2,hard-bulldozer-tractor-distractor,2025-01-05 16:27:25.397,114.0,2025-01-05 16:27:32.774,510,f,tractor,bulldozer,tractor,see,hard-distractor,2,2.980748,3.960068,16,40 or more weeks,en egy,,6
0,ZPX2dD,hard-potato-pot,2025-01-05 14:47:39.345,162.0,2025-01-05 14:47:46.771,600,m,pot,potato,potato,see,hard,2,2.980748,4.103515,16,39 weeks,en,,6
0,ZPX2dD,easy-turtle-horse,2025-01-05 14:47:47.501,157.0,2025-01-05 14:47:54.921,600,m,horse,turtle,turtle,where,easy,2,2.980748,3.960068,17,39 weeks,en,,7
0,M7RZU2,easy-squirrel-eagle,2025-01-05 16:27:56.192,1387.0,2025-01-05 16:28:04.821,510,f,eagle,squirrel,squirrel,find,easy,2,2.980748,3.960068,17,40 or more weeks,en egy,,7
0,AWMRW7,hard-acorn-coconut,2025-01-05 16:11:58.997,221.0,2025-01-05 16:12:06.496,720,f,acorn,coconut,acorn,look_at,hard,2,2.980748,3.960068,17,39 weeks,en,,7
0,CS7F6L,easy-bulldozer-orange,2025-01-06 14:05:50.064,358.0,2025-01-06 14:05:57.778,540,m,bulldozer,orange,bulldozer,find,easy,2,2.980748,4.103515,17,39 weeks,en es,,7
0,QcRBVD,easy-acorn-key,2025-01-05 19:53:26.244,108.0,2025-01-05 19:53:33.617,510,m,key,acorn,acorn,look_at,easy,2,2.980748,3.960068,17,40 or more weeks,en,,7
0,AWMRW7,easy-turkey-swan-distractor,2025-01-05 16:12:08.587,191.0,2025-01-05 16:12:16.035,720,f,swan,turkey,swan,see,easy-distractor,2,2.980748,3.860907,18,39 weeks,en,,8
0,QcRBVD,easy-potato-glasses,2025-01-05 19:53:39.048,93.0,2025-01-05 19:53:46.408,510,m,potato,glasses,potato,find,easy,2,2.980748,4.103515,18,40 or more weeks,en,,8
0,M7RZU2,hard-turkey-goat,2025-01-05 16:28:08.322,37.0,2025-01-05 16:28:15.610,510,f,turkey,goat,turkey,where,hard,2,2.980748,3.960068,18,40 or more weeks,en egy,,8
0,CS7F6L,hard-squirrel-monkey,2025-01-06 14:05:59.639,300.0,2025-01-06 14:06:07.345,540,m,squirrel,monkey,squirrel,look_at,hard,2,2.980748,3.960068,18,39 weeks,en es,,8
0,ZPX2dD,easy-cheese-mud,2025-01-05 14:47:55.612,163.0,2025-01-05 14:48:03.020,600,m,cheese,mud,cheese,find,easy,2,2.980748,3.960068,18,39 weeks,en,,8
0,AWMRW7,easy-snail-cow,2025-01-05 16:12:24.518,5.0,2025-01-05 16:12:31.796,720,f,snail,cow,snail,look_at,easy,2,2.980748,3.860907,20,39 weeks,en,,9
0,ZPX2dD,hard-snail-worm,2025-01-05 14:48:09.047,161.0,2025-01-05 14:48:16.490,600,m,worm,snail,snail,find,hard,2,2.980748,3.860907,20,39 weeks,en,,9
0,QcRBVD,easy-squirrel-eagle,2025-01-05 19:53:57.383,94.0,2025-01-05 19:54:04.698,510,m,squirrel,eagle,squirrel,look_at,easy,2,2.980748,3.960068,20,40 or more weeks,en,,9
0,CS7F6L,easy-turtle-horse,2025-01-06 14:06:15.265,243.0,2025-01-06 14:06:22.860,540,m,turtle,horse,turtle,look_at,easy,2,2.980748,3.960068,20,39 weeks,en es,,9
0,M7RZU2,easy-turtle-horse-distractor,2025-01-05 16:28:24.390,31.0,2025-01-05 16:28:31.700,510,f,horse,turtle,horse,look_at,easy-distractor,2,2.980748,3.860907,20,40 or more weeks,en egy,,9
0,M7RZU2,easy-cheese-mud-distractor,2025-01-05 16:28:40.044,4.0,2025-01-05 16:28:47.310,510,f,mud,cheese,mud,find,easy-distractor,2,2.980748,3.860907,21,40 or more weeks,en egy,,10
0,QcRBVD,hard-cheese-butter,2025-01-05 19:54:10.151,59.0,2025-01-05 19:54:17.538,510,m,cheese,butter,cheese,where,hard,2,2.980748,3.960068,21,40 or more weeks,en,,10
0,CS7F6L,easy-squirrel-eagle,2025-01-06 14:06:24.819,301.0,2025-01-06 14:06:32.515,540,m,eagle,squirrel,squirrel,see,easy,2,2.980748,3.960068,21,39 weeks,en es,,10
0,AWMRW7,hard-turkey-goat,2025-01-05 16:12:39.323,5.0,2025-01-05 16:12:46.596,720,f,turkey,goat,turkey,find,hard,2,2.980748,3.960068,21,39 weeks,en,,10
0,ZPX2dD,hard-acorn-coconut,2025-01-05 14:48:17.177,167.0,2025-01-05 14:48:24.590,600,m,acorn,coconut,acorn,look_at,hard,2,2.980748,3.960068,21,39 weeks,en,,10
0,M7RZU2,hard-potato-pot-distractor,2025-01-05 16:28:55.446,5.0,2025-01-05 16:29:02.719,510,f,potato,pot,pot,where,hard-distractor,2,2.980748,3.860907,22,40 or more weeks,en egy,,11
0,ZPX2dD,easy-turkey-swan,2025-01-05 14:48:25.390,161.0,2025-01-05 14:48:32.810,600,m,swan,turkey,turkey,where,easy,2,2.980748,3.960068,22,39 weeks,en,,11
0,QcRBVD,hard-potato-pot,2025-01-05 19:54:23.606,80.0,2025-01-05 19:54:30.959,510,m,potato,pot,potato,see,hard,2,2.980748,4.103515,22,40 or more weeks,en,,11
0,CS7F6L,easy-snail-cow,2025-01-06 14:06:34.579,331.0,2025-01-06 14:06:42.274,540,m,cow,snail,snail,find,easy,2,2.980748,3.860907,22,39 weeks,en es,,11
0,AWMRW7,hard-squirrel-monkey,2025-01-05 16:12:53.377,56.0,2025-01-05 16:13:00.696,720,f,squirrel,monkey,squirrel,where,hard,2,2.980748,3.960068,22,39 weeks,en,,11
0,M7RZU2,easy-acorn-key,2025-01-05 16:29:06.756,3.0,2025-01-05 16:29:14.019,510,f,key,acorn,acorn,see,easy,2,2.980748,3.960068,23,40 or more weeks,en egy,,12
0,ZPX2dD,hard-squirrel-monkey-distractor,2025-01-05 14:48:33.533,172.0,2025-01-05 14:48:40.959,600,m,monkey,squirrel,monkey,see,hard-distractor,2,2.980748,3.960068,23,39 weeks,en,,12
0,QcRBVD,easy-bulldozer-orange-distractor,2025-01-05 19:54:36.549,83.0,2025-01-05 19:54:43.909,510,m,orange,bulldozer,orange,find,easy-distractor,2,2.980748,3.960068,23,40 or more weeks,en,,12
0,CS7F6L,easy-acorn-key-distractor,2025-01-06 14:06:44.711,399.0,2025-01-06 14:06:52.486,540,m,acorn,key,key,where,easy-distractor,2,2.980748,3.860907,23,39 weeks,en es,,12
0,AWMRW7,hard-turtle-frog,2025-01-05 16:13:02.559,115.0,2025-01-05 16:13:09.915,720,f,frog,turtle,turtle,see,hard,2,2.980748,3.960068,23,39 weeks,en,,12
0,QcRBVD,hard-turkey-goat,2025-01-05 19:54:54.968,55.0,2025-01-05 19:55:02.249,510,m,goat,turkey,turkey,where,hard,2,2.980748,3.960068,25,40 or more weeks,en,,13
0,M7RZU2,easy-turkey-swan,2025-01-05 16:29:27.522,4.0,2025-01-05 16:29:34.759,510,f,turkey,swan,turkey,find,easy,2,2.980748,3.960068,25,40 or more weeks,en egy,,13
0,CS7F6L,hard-bulldozer-tractor-distractor,2025-01-06 14:07:00.149,327.0,2025-01-06 14:07:07.809,540,m,bulldozer,tractor,tractor,look_at,hard-distractor,2,2.980748,3.960068,25,39 weeks,en es,,13
0,ZPX2dD,hard-bulldozer-tractor-distractor,2025-01-05 14:48:47.266,147.0,2025-01-05 14:48:54.659,600,m,bulldozer,tractor,tractor,find,hard-distractor,2,2.980748,3.960068,25,39 weeks,en,,13
0,AWMRW7,easy-acorn-key,2025-01-05 16:13:17.206,5.0,2025-01-05 16:13:24.476,720,f,key,acorn,acorn,look_at,easy,2,2.980748,3.960068,25,39 weeks,en,,13
0,QcRBVD,hard-turtle-frog-distractor,2025-01-05 19:55:07.775,86.0,2025-01-05 19:55:15.110,510,m,frog,turtle,frog,look_at,hard-distractor,2,2.980748,3.860907,26,40 or more weeks,en,,14
0,ZPX2dD,hard-turtle-frog-distractor,2025-01-05 14:48:57.990,162.0,2025-01-05 14:49:05.408,600,m,turtle,frog,frog,see,hard-distractor,2,2.980748,3.860907,26,39 weeks,en,,14
0,M7RZU2,easy-snail-cow-distractor,2025-01-05 16:29:37.650,41.0,2025-01-05 16:29:44.949,510,f,cow,snail,cow,where,easy-distractor,2,2.980748,3.860907,26,40 or more weeks,en egy,,14
0,CS7F6L,hard-cheese-butter,2025-01-06 14:07:09.849,361.0,2025-01-06 14:07:17.562,540,m,cheese,butter,cheese,find,hard,2,2.980748,3.960068,26,39 weeks,en es,,14
0,AWMRW7,easy-bulldozer-orange,2025-01-05 16:13:26.333,86.0,2025-01-05 16:13:33.676,720,f,bulldozer,orange,bulldozer,find,easy,2,2.980748,4.103515,26,39 weeks,en,,14
0,AWMRW7,hard-potato-pot-distractor,2025-01-05 16:13:35.396,135.0,2025-01-05 16:13:42.796,720,f,potato,pot,pot,see,hard-distractor,2,2.980748,3.860907,27,39 weeks,en,,15
0,M7RZU2,easy-bulldozer-orange-distractor,2025-01-05 16:29:53.073,4.0,2025-01-05 16:30:00.359,510,f,orange,bulldozer,orange,see,easy-distractor,2,2.980748,3.960068,27,40 or more weeks,en egy,,15
0,QcRBVD,hard-acorn-coconut,2025-01-05 19:55:20.537,87.0,2025-01-05 19:55:27.904,510,m,acorn,coconut,acorn,see,hard,2,2.980748,3.960068,27,40 or more weeks,en,,15
0,ZPX2dD,hard-cheese-butter-distractor,2025-01-05 14:49:06.131,166.0,2025-01-05 14:49:13.558,600,m,butter,cheese,butter,look_at,hard-distractor,2,2.980748,3.960068,27,39 weeks,en,,15
0,CS7F6L,hard-turkey-goat-distractor,2025-01-06 14:07:20.787,302.0,2025-01-06 14:07:28.431,540,m,turkey,goat,goat,where,hard-distractor,2,2.980748,3.860907,27,39 weeks,en es,,15
0,AWMRW7,hard-cheese-butter-distractor,2025-01-05 16:13:44.393,206.0,2025-01-05 16:13:51.855,720,f,cheese,butter,butter,where,hard-distractor,2,2.980748,3.960068,28,39 weeks,en,,16
0,M7RZU2,hard-squirrel-monkey-distractor,2025-01-05 16:30:06.737,4.0,2025-01-05 16:30:14.009,510,f,squirrel,monkey,monkey,look_at,hard-distractor,2,2.980748,3.960068,28,40 or more weeks,en egy,,16
0,ZPX2dD,easy-potato-glasses-distractor,2025-01-05 14:49:14.264,156.0,2025-01-05 14:49:21.688,600,m,glasses,potato,glasses,where,easy-distractor,2,2.980748,3.960068,28,39 weeks,en,,16
0,QcRBVD,hard-snail-worm-distractor,2025-01-05 19:55:30.310,109.0,2025-01-05 19:55:37.681,510,m,snail,worm,worm,find,hard-distractor,2,2.980748,3.860907,28,40 or more weeks,en,,16
0,CS7F6L,easy-potato-glasses,2025-01-06 14:07:30.541,155.0,2025-01-06 14:07:38.091,540,m,potato,glasses,potato,see,easy,2,2.980748,4.103515,28,39 weeks,en es,,16
0,AWMRW7,hard-acorn-coconut-distractor,2025-01-05 16:14:04.006,192.0,2025-01-05 16:14:09.308,720,f,coconut,acorn,coconut,see,hard-distractor,2,2.980748,4.103515,30,39 weeks,en,,17
0,ZPX2dD,easy-cheese-mud-distractor,2025-01-05 14:49:27.345,154.0,2025-01-05 14:49:34.757,600,m,cheese,mud,mud,find,easy-distractor,2,2.980748,3.860907,30,39 weeks,en,,17
0,M7RZU2,hard-cheese-butter-distractor,2025-01-05 16:30:24.093,4.0,2025-01-05 16:30:31.338,510,f,butter,cheese,butter,look_at,hard-distractor,2,2.980748,3.960068,30,40 or more weeks,en egy,,17
0,CS7F6L,easy-cheese-mud-distractor,2025-01-06 14:07:47.112,3.0,2025-01-06 14:07:54.529,540,m,cheese,mud,mud,where,easy-distractor,2,2.980748,3.860907,30,39 weeks,en es,,17
0,QcRBVD,easy-cheese-mud-distractor,2025-01-05 19:55:48.362,87.0,2025-01-05 19:55:55.671,510,m,mud,cheese,mud,find,easy-distractor,2,2.980748,3.860907,30,40 or more weeks,en,,17
0,AWMRW7,hard-snail-worm,2025-01-05 16:15:35.047,5.0,2025-01-05 16:15:42.296,720,f,worm,snail,snail,where,hard,2,2.980748,3.860907,31,39 weeks,en,,18
0,M7RZU2,hard-bulldozer-tractor,2025-01-05 16:30:34.504,49.0,2025-01-05 16:30:41.808,510,f,bulldozer,tractor,bulldozer,see,hard,2,2.980748,4.103515,31,40 or more weeks,en egy,,18
0,QcRBVD,hard-squirrel-monkey-distractor,2025-01-05 19:56:01.218,157.0,2025-01-05 19:56:08.651,510,m,squirrel,monkey,monkey,look_at,hard-distractor,2,2.980748,3.960068,31,40 or more weeks,en,,18
0,CS7F6L,easy-bulldozer-orange-distractor,2025-01-06 14:07:56.700,313.0,2025-01-06 14:08:04.377,540,m,bulldozer,orange,orange,look_at,easy-distractor,2,2.980748,3.960068,31,39 weeks,en es,,18
0,ZPX2dD,easy-acorn-key-distractor,2025-01-05 14:49:38.143,151.0,2025-01-05 14:49:45.557,600,m,key,acorn,key,look_at,easy-distractor,2,2.980748,3.860907,31,39 weeks,en,,18
0,CS7F6L,hard-acorn-coconut-distractor,2025-01-06 14:08:12.187,360.0,2025-01-06 14:08:19.885,540,m,acorn,coconut,coconut,see,hard-distractor,2,2.980748,4.103515,32,39 weeks,en es,,19
