,SubjectInfo.subjID,Trials.trialID,absolute_onset,Trials.audio_lag_vs_video_lag,absolute_offset,SubjectInfo.testAge,SubjectInfo.gender,Trials.leftImage,Trials.rightImage,Trials.targetImage,Trials.targetAudio,Trials.trialType,Trials.carrier_onset,Trials.target_onset,Trials.target_offset,Trials.article_length,Trials.order,SubjectInfo.age_at_birth,SubjectInfo.language_list,SubjectInfo.condition_list,Trials.ordinal
0,ACW6AZ,easy-cheese-mud,2025-01-26 17:05:37.663,186.0,2025-01-26 17:05:45.116,630,f,mud,cheese,cheese,see,easy,2,3.1487480000000003,4.128068000000001,0.168,10,39 weeks,en egy,,1
0,6THVBG,easy-cheese-mud,2025-01-12 15:17:51.207,75.0,2025-01-12 15:17:58.515,510,f,mud,cheese,cheese,find,easy,2,3.1487480000000003,4.128068000000001,0.168,10,39 weeks,en,,1
0,CKRG26,hard-bulldozer-tractor-distractor,2025-01-26 01:29:27.506,383.0,2025-01-26 01:29:35.300,630,f,tractor,bulldozer,tractor,see,hard-distractor,2,3.1647480000000003,4.144068000000001,0.184,10,40 or more weeks,en,,1
0,M63GEd,easy-potato-glasses-distractor,2025-01-25 18:05:16.140,8.0,2025-01-25 18:05:23.385,660,f,potato,glasses,glasses,look_at,easy-distractor,2,3.1207480000000003,4.100068,0.14,10,38 weeks,en,,1
0,5QCS4M,easy-turkey-swan-distractor,2025-01-25 20:47:53.513,229.0,2025-01-25 20:48:01.006,750,f,swan,turkey,swan,where,easy-distractor,2,3.145748,4.025907,0.165,10,39 weeks,en ko,,1
0,ZM4dG6,hard-potato-pot-distractor,2025-01-29 16:26:06.463,295.0,2025-01-29 16:26:14.047,570,f,potato,pot,pot,look_at,hard-distractor,2,3.308748,4.188907,0.328,10,37 weeks,en yue,,1
0,BFLJ23,easy-turkey-swan-distractor,2025-01-29 21:39:22.968,238.0,2025-01-29 21:39:30.467,450,f,turkey,swan,swan,see,easy-distractor,2,3.110748,3.990907,0.13,10,40 or more weeks,en,,1
0,TUFKTQ,easy-acorn-key,2025-01-25 19:00:45.211,312.0,2025-01-25 19:00:52.790,450,f,key,acorn,acorn,look_at,easy,2,3.1567480000000003,4.136068,0.176,10,39 weeks,en,,1
0,VcKZT3,hard-turtle-frog,2025-01-28 02:50:24.520,9.0,2025-01-28 02:50:31.816,690,f,frog,turtle,turtle,where,hard,2,3.231748,4.211068,0.251,11,39 weeks,en,,2
0,dKKWAR,easy-snail-cow-distractor,2025-01-23 19:26:17.625,1.0,2025-01-23 19:26:24.976,450,m,snail,cow,cow,look_at,easy-distractor,2,3.1607480000000003,4.040907000000001,0.18,11,40 or more weeks,en,,2
0,YK3WN6,hard-squirrel-monkey,2025-01-27 22:37:30.499,35.0,2025-01-27 22:37:37.791,720,m,monkey,squirrel,squirrel,where,hard,2,3.090748,4.070068,0.11,11,39 weeks,en,,2
