category,count_instances,count_exemplar_crops,proportion,cdi_semantic
chair,492,95,0.046511627906976744,furniture_rooms
lamp,404,92,0.038192474948005296,household
couch,385,98,0.0363962941955001,furniture_rooms
table,369,94,0.03488372093023256,furniture_rooms
pillow,367,85,0.034694649272074114,household
cup,315,83,0.029778786159954624,household
bowl,294,88,0.027793533749290982,household
toy,259,100,0.024484779731518247,toys
plate,259,93,0.024484779731518247,household
glasses,227,96,0.021459633200983173,household
bottle,226,85,0.02136509737190395,household
door,215,95,0.02032520325203252,furniture_rooms
bed,212,74,0.020041595764794858,furniture_rooms
window,209,99,0.019757988277557193,furniture_rooms
box,194,86,0.018339950841368878,household
refrigerator,184,65,0.017394592550576668,furniture_rooms
towel,176,83,0.0166383059179429,household
book,175,94,0.01654377008886368,toys
napkin,167,77,0.01578748345622991,household
sink,154,64,0.014558517678200038,furniture_rooms
blanket,151,92,0.014274910190962374,household
hand,150,96,0.014180374361883154,body_parts
ball,149,86,0.014085838532803933,toys
oven,147,83,0.013896766874645491,furniture_rooms
drawer,141,87,0.013329551900170164,furniture_rooms
toe,140,63,0.013235016071090943,body_parts
shirt,132,91,0.012478729438457176,clothing
hair,125,94,0.011816978634902628,body_parts
balloon,123,74,0.011627906976744186,toys
bucket,119,71,0.011249763660427303,household
plant,115,99,0.010871620344110417,household
basket,100,91,0.009453582907922102,household
pants,98,90,0.00926451124976366,clothing
shorts,95,95,0.008980903762525997,clothing
necklace,91,85,0.008602760446209114,clothing
stroller,90,88,0.008508224617129892,vehicles
mouth,89,92,0.00841368878805067,body_parts
flower,89,93,0.00841368878805067,outside
sweater,88,97,0.00831915295897145,clothing
shoe,87,94,0.008224617129892229,clothing
face,85,91,0.008035545471733787,body_parts
pajamas,84,86,0.007941009642654566,clothing
tooth,84,79,0.007941009642654566,body_parts
finger,84,94,0.007941009642654566,body_parts
jeans,84,84,0.007941009642654566,clothing
tray,83,80,0.007846473813575346,household
arm,83,91,0.007846473813575346,body_parts
clock,82,92,0.007751937984496124,household
watch,82,97,0.007751937984496124,household
purse,82,76,0.007751937984496124,household
doll,82,89,0.007751937984496124,toys
sock,80,83,0.007562866326337682,clothing
foot,79,93,0.0074683304972584606,body_parts
dog,79,71,0.0074683304972584606,animals
paper,78,99,0.00737379466817924,household
fork,77,63,0.007279258839100019,household
nose,75,64,0.007090187180941577,body_parts
butterfly,74,92,0.0069956513518623555,animals
jar,73,79,0.006901115522783135,household
cat,72,68,0.006806579693703914,animals
closet,72,81,0.006806579693703914,furniture_rooms
car,71,69,0.006712043864624693,vehicles
shower,69,77,0.0065229722064662505,furniture_rooms
crib,68,60,0.00642843637738703,furniture_rooms
dish,68,90,0.00642843637738703,household
vacuum,68,62,0.00642843637738703,household
ear,68,78,0.00642843637738703,body_parts
dress,67,97,0.006333900548307809,clothing
apple,66,64,0.006239364719228588,food_drink
hat,65,78,0.006144828890149366,clothing
bird,63,63,0.005955757231990925,animals
eye,62,66,0.005861221402911704,body_parts
glass,62,80,0.005861221402911704,household
jacket,61,76,0.005766685573832482,clothing
pony,60,63,0.005672149744753261,animals
tree,59,99,0.00557761391567404,outside
can,54,61,0.005104934770277935,household
scarf,54,73,0.005104934770277935,clothing
grass,51,100,0.004821327283040272,outside
bench,47,64,0.004443183966723388,furniture_rooms
slide,43,57,0.0040650406504065045,outside
rock,32,71,0.0030251465305350727,outside
stick,21,73,0.0019852524106636414,outside
cracker,14,73,0.0013235016071090943,food_drink
swing,9,65,0.0008508224617129892,outside
