image_similarity,text1,epoch,text2,text_similarity,multimodal_similarity
0.09870349,glasses,2,potato,0.20947127,-0.036037683
0.25651762,orange,2,bulldozer,0.2792904,0.18359238
0.23260613,cow,2,snail,0.30837524,0.13904095
0.1740406,key,2,acorn,0.43616042,0.4015696
0.41547367,goat,2,turkey,0.4684198,0.34269232
0.47341573,frog,2,turtle,0.7006369,0.35197097
0.6287198,butter,2,cheese,0.63505024,0.41827005
0.5196286,monkey,2,squirrel,0.6207819,0.37512726
0.11397047,pot,2,potato,0.453036,0.09665948
0.48978606,tractor,2,bulldozer,0.63984144,0.4197386
0.42442816,worm,2,snail,0.67712575,0.44698757
0.56486183,coconut,2,acorn,0.58976936,0.3629641
0.1446913,dresser,2,balloon,0.30129942,0.105216205
0.5258137,kite,2,balloon,0.5382597,0.283907
0.18507484,sock,2,bathtub,0.27169853,-0.043510795
0.56878716,shower,2,bathtub,0.6281151,0.36978287
0.15192384,ladybug,2,camel,0.23208481,-0.16108155
0.49609694,elephant,2,camel,0.58339655,0.2956375
0.14749114,zipper,2,cloud,0.31638938,0.087739706
0.49851853,tree,2,cloud,0.46659446,0.13810235
0.28419915,seahorse,2,crow,0.34064674,0.15641236
0.44848585,penguin,2,crow,0.58597285,0.38268113
0.2521048,butterfly,2,duck,0.4867516,0.20023757
0.31231463,chicken,2,duck,0.6661704,0.23129928
0.28419557,walrus,2,lizard,0.40344632,0.15575242
0.5539709,snake,2,lizard,0.75647146,0.4443819
0.34795734,airplane,2,truck,0.5144964,0.12668175
0.17736118,car,2,truck,0.6546151,0.48137903
0.5868605,turkey,3,swan,0.5913511,0.376325
0.4174334,turtle,3,horse,0.6085879,0.064415336
0.36521873,cheese,3,mud,0.5458084,0.3848734
0.50391126,squirrel,3,eagle,0.61202276,0.22505218
0.34725094,potato,3,glasses,0.52238095,0.21958125
0.42723566,bulldozer,3,orange,0.51420027,0.20334399
0.41355044,snail,3,cow,0.51517123,-0.009503007
0.37747133,acorn,3,key,0.59293157,0.17439663
0.50186795,turkey,3,goat,0.5928489,0.3312568
0.63504094,turtle,3,frog,0.7727637,0.42830938
0.7269669,cheese,3,butter,0.8124977,0.5340904
0.6264313,squirrel,3,monkey,0.6998864,0.3981545
0.41807657,potato,3,pot,0.63952154,0.17346144
0.56554496,bulldozer,3,tractor,0.78264296,0.2518903
0.6547805,snail,3,worm,0.7620031,0.39473683
0.69913214,acorn,3,coconut,0.7078799,0.41718787
0.31042817,balloon,3,dresser,0.5002621,0.20708126
0.65995926,balloon,3,kite,0.6165641,0.4641335
0.43539473,bathtub,3,sock,0.5256619,-0.033785105
0.6905875,bathtub,3,shower,0.785956,0.42633158
0.42489517,camel,3,ladybug,0.43666062,-0.02840352
0.6467404,camel,3,elephant,0.7751592,0.39915252
0.40200984,cloud,3,zipper,0.5260247,0.25340205
0.70731044,cloud,3,tree,0.65357614,0.37810463
0.47211668,crow,3,seahorse,0.512342,0.23140252
0.5418095,crow,3,penguin,0.7127603,0.30484104
0.4941681,duck,3,butterfly,0.6639401,0.25575775
0.5141517,duck,3,chicken,0.7662485,0.4171725
0.5413039,lizard,3,walrus,0.5239917,0.30767184
0.80032307,lizard,3,snake,0.8177128,0.43786663
0.46327737,truck,3,airplane,0.74519706,0.34215307
0.31907713,truck,3,car,0.8465188,0.17307734
0.5868605,swan,3,turkey,0.5913511,0.31038433
0.4174334,horse,3,turtle,0.6085879,0.20019299
0.36521873,mud,3,cheese,0.5458084,0.2314738
0.50391126,eagle,3,squirrel,0.61202276,0.17028397
0.34725094,glasses,3,potato,0.52238095,0.12505972
0.42723566,orange,3,bulldozer,0.51420027,0.21209884
0.41355044,cow,3,snail,0.51517123,0.26060706
0.37747133,key,3,acorn,0.59293157,0.34614038
0.50186795,goat,3,turkey,0.5928489,0.32162595
0.63504094,frog,3,turtle,0.7727637,0.39828157
0.7269669,butter,3,cheese,0.8124977,0.3786121
0.6264313,monkey,3,squirrel,0.6998864,0.35765743
0.41807657,pot,3,potato,0.63952154,0.36712158
0.56554496,tractor,3,bulldozer,0.78264296,0.46884388
0.6547805,worm,3,snail,0.7620031,0.45588446
0.69913214,coconut,3,acorn,0.7078799,0.40627187
0.31042817,dresser,3,balloon,0.5002621,0.25612992
0.65995926,kite,3,balloon,0.6165641,0.31675267
0.43539473,sock,3,bathtub,0.5256619,0.28455758
0.6905875,shower,3,bathtub,0.785956,0.39242387
0.42489517,ladybug,3,camel,0.43666062,0.086885154
0.6467404,elephant,3,camel,0.7751592,0.38435966
0.40200984,zipper,3,cloud,0.5260247,0.22281611
0.70731044,tree,3,cloud,0.65357614,0.3003496
0.47211668,seahorse,3,crow,0.512342,0.22243166
0.5418095,penguin,3,crow,0.7127603,0.33426815
0.4941681,butterfly,3,duck,0.6639401,0.3240499
0.5141517,chicken,3,duck,0.7662485,0.31550336
0.5413039,walrus,3,lizard,0.5239917,0.24259245
0.80032307,snake,3,lizard,0.8177128,0.47306395
0.46327737,airplane,3,truck,0.74519706,0.25182295
0.31907713,car,3,truck,0.8465188,0.5055854
0.6059584,turkey,4,swan,0.70176315,0.3688228
0.49258277,turtle,4,horse,0.66493344,0.1678487
0.45788723,cheese,4,mud,0.5437765,0.37582153
0.5349696,squirrel,4,eagle,0.67617667,0.16906422
0.42491674,potato,4,glasses,0.553251,0.19562435
0.499074,bulldozer,4,orange,0.59583193,0.24686068
0.4619856,snail,4,cow,0.6070621,0.14126027
0.38610733,acorn,4,key,0.6240485,0.18072069
0.56351924,turkey,4,goat,0.6432665,0.33117354
0.64223117,turtle,4,frog,0.7903417,0.44472158
0.7495217,cheese,4,butter,0.8134024,0.52269644
0.6509497,squirrel,4,monkey,0.7444799,0.37486708
0.43219495,potato,4,pot,0.666228,0.17763466
0.6091455,bulldozer,4,tractor,0.83333147,0.3204623
0.6013845,snail,4,worm,0.80115175,0.40102363
