target,distractor,image_similarity,text_similarity,multimodal_similarity,stimuli_id,row_id
turkey,swan,0.72705078125,0.85498046875,0.255615234375,247514,247514_0
swan,turkey,0.72705078125,0.85498046875,0.273681640625,247514,247514_1
turtle,horse,0.6337890625,0.83447265625,0.251708984375,318031,318031_0
horse,turtle,0.6337890625,0.83447265625,0.230224609375,318031,318031_1
cheese,mud,0.45068359375,0.78466796875,0.37744140625,108177,108177_0
mud,cheese,0.45068359375,0.78466796875,0.1539306640625,108177,108177_1
squirrel,eagle,0.6640625,0.81591796875,0.279541015625,756250,756250_0
eagle,squirrel,0.6640625,0.81591796875,0.2239990234375,756250,756250_1
potato,glasses,0.53955078125,0.7607421875,0.26123046875,415297,415297_0
glasses,potato,0.53955078125,0.7607421875,0.30029296875,415297,415297_1
bulldozer,orange,0.5078125,0.70947265625,0.2232666015625,502140,502140_0
orange,bulldozer,0.5078125,0.70947265625,0.1751708984375,502140,502140_1
snail,cow,0.64599609375,0.7919921875,0.160400390625,162500,162500_0
cow,snail,0.64599609375,0.7919921875,0.2181396484375,162500,162500_1
acorn,key,0.61572265625,0.74462890625,0.1505126953125,94476,94476_0
key,acorn,0.61572265625,0.74462890625,0.34423828125,94476,94476_1
turkey,goat,0.72412109375,0.83740234375,0.219970703125,69746,69746_0
goat,turkey,0.72412109375,0.83740234375,0.30810546875,69746,69746_1
turtle,frog,0.73974609375,0.88671875,0.42578125,20779,20779_0
frog,turtle,0.73974609375,0.88671875,0.240234375,20779,20779_1
cheese,butter,0.8427734375,0.9052734375,0.595703125,421098,421098_0
butter,cheese,0.8427734375,0.9052734375,0.27197265625,421098,421098_1
squirrel,monkey,0.68408203125,0.87109375,0.28466796875,576089,576089_0
monkey,squirrel,0.68408203125,0.87109375,0.38720703125,576089,576089_1
potato,pot,0.583984375,0.81982421875,0.23828125,962545,962545_0
pot,potato,0.583984375,0.81982421875,0.390869140625,962545,962545_1
bulldozer,tractor,0.69091796875,0.85791015625,0.263671875,303432,303432_0
tractor,bulldozer,0.69091796875,0.85791015625,0.38720703125,303432,303432_1
snail,worm,0.68896484375,0.89013671875,0.252685546875,839335,839335_0
worm,snail,0.68896484375,0.89013671875,0.406982421875,839335,839335_1
acorn,coconut,0.76220703125,0.818359375,0.312255859375,802331,802331_0
coconut,acorn,0.76220703125,0.818359375,0.376220703125,802331,802331_1
