text1,text2,clip_image_similarity,clip_text_similarity,clip_multimodal_similarity,clip-hf_image_similarity,cvcl_image_similarity,cvcl_text_similarity,cvcl_multimodal_similarity,dinov2_image_similarity,dino_say_vitb14_image_similarity,dino_imagenet100_vitb14_image_similarity,dinov3-babyview_image_similarity,dinov3_image_similarity
mud,cheese,0.4920145,0.78450394,0.32595658,0.4920164,0.11847068,0.049014356,0.92161113,0.040213663,0.38001123,0.47247586,0.09641409,0.029730378
orange,bulldozer,0.5279515,0.70902663,0.3335961,0.52790976,-0.036046635,0.023207186,-0.35665452,0.030298159,0.43429518,0.3481609,-0.012477008,0.07351714
penguin,crow,0.7175221,0.8387593,0.42430502,0.7176356,0.4379213,0.18557669,0.21191621,0.034446012,0.61975616,0.54521364,0.2330681,0.08285584
pot,potato,0.5960706,0.819453,0.4580127,0.59583116,0.05904231,-0.020860873,-1.0179296,0.050832465,0.27381766,0.35451835,-0.033386633,0.09240448
potato,glasses,0.5523288,0.76075405,0.4033457,0.5526425,0.16963245,0.071500845,1.1730262,-0.0011246721,0.30853602,0.33464766,0.010601615,0.051767617
potato,pot,0.5960706,0.819453,0.37908268,0.59583116,0.05904231,-0.020860873,42.57352,0.050832465,0.27381766,0.35451835,-0.033386633,0.09240448
seahorse,crow,0.6071421,0.6407707,0.27490145,0.60731333,0.14493406,1.0000001,0.40306324,0.024418425,0.49033222,0.36501026,0.19340116,0.04592281
shower,bathtub,0.8369467,0.8186775,0.4392237,0.8369693,0.19296072,-0.010563478,-9.818403,0.23407345,0.4679213,0.56376845,0.09365446,0.22699802
snail,cow,0.6559297,0.79200166,0.3456385,0.65570885,-0.04869842,0.03850634,-0.14080024,-0.007185899,0.43637788,0.3015484,0.17456938,0.028164463
snail,worm,0.6911842,0.88993454,0.40897095,0.69123214,0.07007083,0.13534544,-0.7559881,0.033137534,0.3928739,0.36080047,0.06435131,0.036909543
snake,lizard,0.810047,0.9104703,0.46095562,0.81005335,0.25290066,0.16679953,3.8802392,0.078161485,0.4753107,0.6182666,0.20373487,0.03696891
sock,bathtub,0.6293816,0.7222743,0.37458956,0.6295746,0.18294057,-0.021110527,0.6841551,0.03711717,0.3565646,0.44077235,-0.0018392141,-0.041513182
squirrel,eagle,0.6723669,0.8156052,0.40480292,0.6722173,0.19515395,0.17859629,2.0076663,0.043263514,0.5845441,0.49136305,0.30341032,0.05754377
squirrel,monkey,0.6986867,0.87111175,0.40971732,0.6984696,0.3168342,0.04259083,-1.961144,0.04521173,0.6550053,0.64169407,0.30306786,0.13325512
swan,turkey,0.7433028,0.8553475,0.42083144,0.74316376,0.15879434,0.025583763,0.909557,0.026654689,0.40881178,0.43260178,0.08260097,0.01329611
tractor,bulldozer,0.7183089,0.8580154,0.45425928,0.7182874,0.4597678,0.103927255,0.4524238,0.3177008,0.58676636,0.6856927,0.19453503,0.20933999
tree,cloud,0.8773045,0.7831786,0.42079222,0.8773727,0.34813935,-0.06437087,0.45914274,0.31845978,0.54027605,0.53540796,0.16361451,0.2176698
truck,airplane,0.6370235,0.838276,0.43409532,0.6372519,0.37793922,-0.014285008,0.27171236,0.06511063,0.36214346,0.28960025,0.115209855,0.025456972
truck,car,0.451977,0.91985,0.39872038,0.45177624,0.1808868,0.15277883,0.46827292,-0.03332644,0.5606963,0.4948489,0.13553055,-0.036611166
turkey,goat,0.7289519,0.83774143,0.38414252,0.72878647,0.13086192,0.25035784,0.7205057,0.06715921,0.47468764,0.4545294,0.13114952,0.07766692
turkey,swan,0.7433028,0.8553475,0.40786642,0.74316376,0.15879434,0.025583763,0.616769,0.026654689,0.40881178,0.43260178,0.08260097,0.01329611
turtle,frog,0.75582284,0.885551,0.4726569,0.75590277,0.270215,-0.055920783,0.8321316,0.0027640918,0.49162737,0.45684123,0.091506094,0.023409791
turtle,horse,0.6487,0.8338581,0.38098043,0.6489605,0.16780835,0.12650073,0.094863415,0.037695758,0.4537802,0.42826226,0.08219071,-0.07625065
walrus,lizard,0.61177844,0.6958096,0.27658296,0.61216486,0.020013513,1.0,0.62082624,0.0820177,0.5251311,0.41274545,0.18275702,-0.03151786
worm,snail,0.6911842,0.88993454,0.46801698,0.69123214,0.07007083,0.13534544,0.28474045,0.033137534,0.3928739,0.36080047,0.06435131,0.036909543
zipper,cloud,0.66522264,0.70995253,0.3765412,0.6650652,0.14485753,0.057497755,-0.07987416,0.01095394,0.33321297,0.3415952,-0.041085273,0.017698502
